;;;t;V in;V out
;;;-0,00001934;4,8;
;;;-0,00001932;4,84;
;;;-0,0000193;4,84;
;;;-0,00001928;4,84;
;;;-0,00001926;4,84;
;;;-0,00001924;4,8;
;;;-0,00001922;4,84;
;;;-0,0000192;4,84;
;;;-0,00001918;4,84;
;;;-0,00001916;4,8;
;;;-0,00001914;4,8;
;;;-0,00001912;4,88;
;;;-0,0000191;4,8;
;;;-0,00001908;4,84;
;;;-0,00001906;4,84;
;;;-0,00001904;4,84;
;;;-0,00001902;4,84;
;;;-0,000019;4,8;
;;;-0,00001898;4,8;
;;;-0,00001896;4,84;
;;;-0,00001894;4,84;
;;;-0,00001892;4,84;
;;;-0,0000189;4,84;
;;;-0,00001888;4,76;
;;;-0,00001886;4,84;
;;;-0,00001884;4,84;
;;;-0,00001882;4,84;
;;;-0,0000188;4,8;
;;;-0,00001878;4,8;
;;;-0,00001876;4,8;
;;;-0,00001874;4,8;
;;;-0,00001872;4,84;
;;;-0,0000187;4,8;
;;;-0,00001868;4,84;
;;;-0,00001866;4,8;
;;;-0,00001864;4,8;
;;;-0,00001862;4,8;
;;;-0,0000186;4,8;
;;;-0,00001858;4,84;
;;;-0,00001856;4,76;
;;;-0,00001854;4,76;
;;;-0,00001852;4,8;
;;;-0,0000185;4,8;
;;;-0,00001848;4,76;
;;;-0,00001846;4,8;
;;;-0,00001844;4,8;
;;;-0,00001842;4,8;
;;;-0,0000184;4,76;
;;;-0,00001838;4,8;
;;;-0,00001836;4,76;
;;;-0,00001834;4,76;
;;;-0,00001832;4,8;
;;;-0,0000183;4,8;
;;;-0,00001828;4,76;
;;;-0,00001826;4,8;
;;;-0,00001824;4,76;
;;;-0,00001822;4,8;
;;;-0,0000182;4,76;
;;;-0,00001818;4,76;
;;;-0,00001816;4,76;
;;;-0,00001814;4,8;
;;;-0,00001812;4,72;
;;;-0,0000181;4,8;
;;;-0,00001808;4,76;
;;;-0,00001806;4,76;
;;;-0,00001804;4,72;
;;;-0,00001802;4,8;
;;;-0,000018;4,8;
;;;-0,00001798;4,76;
;;;-0,00001796;4,76;
;;;-0,00001794;4,8;
;;;-0,00001792;4,8;
;;;-0,0000179;4,8;
;;;-0,00001788;4,76;
;;;-0,00001786;4,76;
;;;-0,00001784;4,76;
;;;-0,00001782;4,76;
;;;-0,0000178;4,72;
;;;-0,00001778;4,8;
;;;-0,00001776;4,76;
;;;-0,00001774;4,8;
;;;-0,00001772;4,76;
;;;-0,0000177;4,76;
;;;-0,00001768;4,76;
;;;-0,00001766;4,76;
;;;-0,00001764;4,76;
;;;-0,00001762;4,68;
;;;-0,0000176;4,76;
;;;-0,00001758;4,76;
