;;;t;Vin;Vout
;;;-0,0001382;1,1152;0,05642
;;;-0,000138;1,1152;0,05773
;;;-0,0001378;1,088;0,05904
;;;-0,0001376;1,088;0,0551
;;;-0,0001374;1,1424;0,05642
;;;-0,0001372;1,1152;0,05773
;;;-0,000137;1,1152;0,0551
;;;-0,0001368;1,088;0,0551
;;;-0,0001366;1,1696;0,05642
;;;-0,0001364;1,1424;0,05248
;;;-0,0001362;1,088;0,0551
;;;-0,000136;1,1152;0,0551
;;;-0,0001358;1,1424;0,0551
;;;-0,0001356;1,1424;0,05379
;;;-0,0001354;1,1424;0,05379
;;;-0,0001352;1,088;0,05642
;;;-0,000135;1,1424;0,0551
;;;-0,0001348;1,1696;0,05642
;;;-0,0001346;1,1152;0,05379
;;;-0,0001344;1,1152;0,0551
;;;-0,0001342;1,1152;0,05642
;;;-0,000134;1,1424;0,05379
;;;-0,0001338;1,1696;0,05642
;;;-0,0001336;1,0608;0,05379
;;;-0,0001334;1,1424;0,05379
;;;-0,0001332;1,1424;0,05248
;;;-0,000133;1,1696;0,05379
;;;-0,0001328;1,1696;0,05379
;;;-0,0001326;1,1424;0,0551
;;;-0,0001324;1,1424;0,05379
;;;-0,0001322;1,1696;0,05379
;;;-0,000132;1,1424;0,05248
;;;-0,0001318;1,1968;0,0551
;;;-0,0001316;1,1424;0,05379
;;;-0,0001314;1,1696;0,0551
;;;-0,0001312;1,1424;0,0551
;;;-0,000131;1,1696;0,05117
;;;-0,0001308;1,1424;0,05248
;;;-0,0001306;1,1968;0,05379
;;;-0,0001304;1,1968;0,05379
;;;-0,0001302;1,1968;0,0551
;;;-0,00013;1,1696;0,05379
;;;-0,0001298;1,1968;0,05379
;;;-0,0001296;1,1968;0,05379
;;;-0,0001294;1,1968;0,05248
;;;-0,0001292;1,1696;0,05248
;;;-0,000129;1,1696;0,05117
;;;-0,0001288;1,1696;0,05248
;;;-0,0001286;1,1968;0,05248
;;;-0,0001284;1,1696;0,04986
