;;;t;Vin;Vout
;;;-0,0000211;0,528;4,88
;;;-0,00002108;0,512;4,88
;;;-0,00002106;0,512;4,88
;;;-0,00002104;0,536;4,92
;;;-0,00002102;0,528;4,88
;;;-0,000021;0,528;4,88
;;;-0,00002098;0,528;4,92
;;;-0,00002096;0,52;4,88
;;;-0,00002094;0,528;4,88
;;;-0,00002092;0,52;4,88
;;;-0,0000209;0,528;4,88
;;;-0,00002088;0,528;4,88
;;;-0,00002086;0,52;4,88
;;;-0,00002084;0,528;4,92
;;;-0,00002082;0,52;4,92
;;;-0,0000208;0,52;4,88
;;;-0,00002078;0,536;4,88
;;;-0,00002076;0,52;4,88
;;;-0,00002074;0,536;4,88
;;;-0,00002072;0,52;4,92
;;;-0,0000207;0,52;4,84
;;;-0,00002068;0,528;4,88
;;;-0,00002066;0,52;4,88
;;;-0,00002064;0,528;4,88
;;;-0,00002062;0,528;4,84
;;;-0,0000206;0,528;4,88
;;;-0,00002058;0,52;4,92
;;;-0,00002056;0,528;4,84
;;;-0,00002054;0,52;4,84
;;;-0,00002052;0,536;4,84
;;;-0,0000205;0,536;4,88
;;;-0,00002048;0,528;4,84
;;;-0,00002046;0,536;4,84
;;;-0,00002044;0,528;4,88
;;;-0,00002042;0,52;4,84
;;;-0,0000204;0,528;4,88
;;;-0,00002038;0,528;4,88
;;;-0,00002036;0,52;4,84
;;;-0,00002034;0,512;4,84
;;;-0,00002032;0,536;4,84
;;;-0,0000203;0,536;4,84
;;;-0,00002028;0,528;4,84
;;;-0,00002026;0,528;4,88
;;;-0,00002024;0,536;4,88
;;;-0,00002022;0,536;4,88
;;;-0,0000202;0,528;4,84
;;;-0,00002018;0,536;4,88
;;;-0,00002016;0,528;4,88
;;;-0,00002014;0,528;4,84
;;;-0,00002012;0,528;4,84
;;;-0,0000201;0,52;4,84
;;;-0,00002008;0,528;4,84
;;;-0,00002006;0,52;4,92
;;;-0,00002004;0,52;4,88
;;;-0,00002002;0,528;4,8
;;;-0,00002;0,528;4,88
;;;-0,00001998;0,536;4,84
;;;-0,00001996;0,528;4,88
;;;-0,00001994;0,528;4,88
;;;-0,00001992;0,528;4,84
;;;-0,0000199;0,536;4,88
;;;-0,00001988;0,536;4,88
;;;-0,00001986;0,528;4,84
;;;-0,00001984;0,536;4,84
;;;-0,00001982;0,528;4,8
;;;-0,0000198;0,536;4,8
;;;-0,00001978;0,536;4,84
;;;-0,00001976;0,536;4,8
;;;-0,00001974;0,528;4,84
;;;-0,00001972;0,528;4,84
;;;-0,0000197;0,536;4,84
;;;-0,00001968;0,528;4,8
;;;-0,00001966;0,536;4,84
;;;-0,00001964;0,544;4,84
