;;;t;Vin;Vout
;;;-0,0001356;3,22;-0,736
;;;-0,0001354;3,22;-0,736
;;;-0,0001352;3,22;-0,736
;;;-0,000135;3,22;-0,736
;;;-0,0001348;3,22;-0,736
;;;-0,0001346;3,22;-0,72
;;;-0,0001344;3,22;-0,72
;;;-0,0001342;3,22;-0,736
;;;-0,000134;3,22;-0,72
;;;-0,0001338;3,22;-0,72
;;;-0,0001336;3,22;-0,72
;;;-0,0001334;3,22;-0,72
;;;-0,0001332;3,22;-0,72
;;;-0,000133;3,22;-0,72
;;;-0,0001328;3,192;-0,72
;;;-0,0001326;3,22;-0,72
;;;-0,0001324;3,192;-0,72
;;;-0,0001322;3,192;-0,72
;;;-0,000132;3,192;-0,72
;;;-0,0001318;3,192;-0,72
;;;-0,0001316;3,192;-0,72
;;;-0,0001314;3,192;-0,72
;;;-0,0001312;3,192;-0,72
;;;-0,000131;3,192;-0,704
;;;-0,0001308;3,192;-0,704
;;;-0,0001306;3,192;-0,704
;;;-0,0001304;3,192;-0,704
;;;-0,0001302;3,192;-0,704
;;;-0,00013;3,192;-0,704
;;;-0,0001298;3,164;-0,704
;;;-0,0001296;3,192;-0,704
;;;-0,0001294;3,164;-0,704
;;;-0,0001292;3,192;-0,704
;;;-0,000129;3,164;-0,704
;;;-0,0001288;3,164;-0,704
;;;-0,0001286;3,164;-0,704
;;;-0,0001284;3,164;-0,704
;;;-0,0001282;3,164;-0,704
;;;-0,000128;3,164;-0,688
;;;-0,0001278;3,164;-0,688
;;;-0,0001276;3,164;-0,688
;;;-0,0001274;3,164;-0,688
;;;-0,0001272;3,164;-0,688
;;;-0,000127;3,164;-0,688
;;;-0,0001268;3,164;-0,688
;;;-0,0001266;3,164;-0,688
;;;-0,0001264;3,164;-0,688
;;;-0,0001262;3,136;-0,688
;;;-0,000126;3,136;-0,688
;;;-0,0001258;3,136;-0,688
;;;-0,0001256;3,136;-0,688
;;;-0,0001254;3,136;-0,688
;;;-0,0001252;3,136;-0,688
;;;-0,000125;3,136;-0,688
;;;-0,0001248;3,136;-0,672
;;;-0,0001246;3,136;-0,672
;;;-0,0001244;3,136;-0,672
;;;-0,0001242;3,136;-0,672
;;;-0,000124;3,136;-0,672
;;;-0,0001238;3,136;-0,672
;;;-0,0001236;3,136;-0,672
;;;-0,0001234;3,136;-0,672
;;;-0,0001232;3,136;-0,672
;;;-0,000123;3,136;-0,672
;;;-0,0001228;3,108;-0,672
;;;-0,0001226;3,108;-0,672
;;;-0,0001224;3,108;-0,672
;;;-0,0001222;3,108;-0,672
;;;-0,000122;3,108;-0,672
;;;-0,0001218;3,108;-0,672
;;;-0,0001216;3,108;-0,672
;;;-0,0001214;3,108;-0,656
;;;-0,0001212;3,108;-0,656
;;;-0,000121;3,108;-0,656
;;;-0,0001208;3,108;-0,656
;;;-0,0001206;3,108;-0,656
;;;-0,0001204;3,108;-0,656
;;;-0,0001202;3,08;-0,656
;;;-0,00012;3,108;-0,656
;;;-0,0001198;3,108;-0,656
;;;-0,0001196;3,108;-0,656
;;;-0,0001194;3,108;-0,656
;;;-0,0001192;3,108;-0,656
;;;-0,000119;3,08;-0,656
;;;-0,0001188;3,08;-0,656
;;;-0,0001186;3,08;-0,656
;;;-0,0001184;3,08;-0,656
;;;-0,0001182;3,08;-0,656
;;;-0,000118;3,08;-0,64
;;;-0,0001178;3,08;-0,64
;;;-0,0001176;3,08;-0,64
;;;-0,0001174;3,08;-0,64
;;;-0,0001172;3,08;-0,64
;;;-0,000117;3,08;-0,64
;;;-0,0001168;3,08;-0,64
;;;-0,0001166;3,08;-0,64
;;;-0,0001164;3,08;-0,64
;;;-0,0001162;3,08;-0,64
;;;-0,000116;3,052;-0,64
;;;-0,0001158;3,08;-0,64
;;;-0,0001156;3,052;-0,64
;;;-0,0001154;3,052;-0,64
;;;-0,0001152;3,052;-0,64
;;;-0,000115;3,052;-0,64
;;;-0,0001148;3,052;-0,624
;;;-0,0001146;3,052;-0,624
;;;-0,0001144;3,052;-0,624
;;;-0,0001142;3,052;-0,624
;;;-0,000114;3,052;-0,624
;;;-0,0001138;3,052;-0,624
;;;-0,0001136;3,052;-0,624
;;;-0,0001134;3,052;-0,624
;;;-0,0001132;3,052;-0,624
;;;-0,000113;3,052;-0,624
;;;-0,0001128;3,052;-0,624
;;;-0,0001126;3,052;-0,624
;;;-0,0001124;3,024;-0,624
;;;-0,0001122;3,024;-0,624
;;;-0,000112;3,024;-0,624
;;;-0,0001118;3,024;-0,624
;;;-0,0001116;3,024;-0,624
;;;-0,0001114;3,024;-0,608
;;;-0,0001112;3,024;-0,624
;;;-0,000111;3,024;-0,608
;;;-0,0001108;3,024;-0,608
;;;-0,0001106;3,024;-0,608
;;;-0,0001104;3,024;-0,608
;;;-0,0001102;3,024;-0,608
;;;-0,00011;3,024;-0,608
;;;-0,0001098;3,024;-0,608
;;;-0,0001096;3,024;-0,608
;;;-0,0001094;3,024;-0,608
;;;-0,0001092;3,024;-0,608
;;;-0,000109;2,996;-0,608
;;;-0,0001088;2,996;-0,608
;;;-0,0001086;2,996;-0,608
;;;-0,0001084;2,996;-0,592
;;;-0,0001082;2,996;-0,592
;;;-0,000108;2,996;-0,592
;;;-0,0001078;2,996;-0,592
;;;-0,0001076;2,996;-0,592
;;;-0,0001074;2,996;-0,592
;;;-0,0001072;2,996;-0,592
;;;-0,000107;2,996;-0,592
;;;-0,0001068;2,996;-0,592
;;;-0,0001066;2,996;-0,592
;;;-0,0001064;2,996;-0,592
;;;-0,0001062;2,996;-0,592
;;;-0,000106;2,996;-0,592
;;;-0,0001058;2,968;-0,592
;;;-0,0001056;2,996;-0,592
;;;-0,0001054;2,968;-0,592
;;;-0,0001052;2,968;-0,576
;;;-0,000105;2,996;-0,576
;;;-0,0001048;2,968;-0,576
;;;-0,0001046;2,968;-0,576
;;;-0,0001044;2,968;-0,576
;;;-0,0001042;2,968;-0,576
;;;-0,000104;2,968;-0,576
;;;-0,0001038;2,968;-0,576
;;;-0,0001036;2,968;-0,576
;;;-0,0001034;2,968;-0,576
;;;-0,0001032;2,968;-0,576
;;;-0,000103;2,968;-0,576
;;;-0,0001028;2,968;-0,576
;;;-0,0001026;2,94;-0,576
;;;-0,0001024;2,968;-0,576
;;;-0,0001022;2,94;-0,576
;;;-0,000102;2,94;-0,576
;;;-0,0001018;2,94;-0,56
;;;-0,0001016;2,94;-0,56
;;;-0,0001014;2,94;-0,56
;;;-0,0001012;2,94;-0,56
;;;-0,000101;2,94;-0,56
;;;-0,0001008;2,94;-0,56
;;;-0,0001006;2,94;-0,56
;;;-0,0001004;2,94;-0,56
;;;-0,0001002;2,94;-0,56
;;;-0,0001;2,94;-0,56
;;;-0,0000998;2,94;-0,56
;;;-0,0000996;2,94;-0,56
;;;-0,0000994;2,94;-0,56
;;;-0,0000992;2,94;-0,56
;;;-0,000099;2,94;-0,56
;;;-0,0000988;2,94;-0,544
;;;-0,0000986;2,94;-0,56
;;;-0,0000984;2,912;-0,56
;;;-0,0000982;2,912;-0,544
;;;-0,000098;2,912;-0,544
;;;-0,0000978;2,912;-0,544
;;;-0,0000976;2,912;-0,544
;;;-0,0000974;2,912;-0,544
;;;-0,0000972;2,912;-0,544
;;;-0,000097;2,912;-0,544
;;;-0,0000968;2,912;-0,544
;;;-0,0000966;2,912;-0,544
;;;-0,0000964;2,912;-0,544
;;;-0,0000962;2,912;-0,544
;;;-0,000096;2,912;-0,544
;;;-0,0000958;2,912;-0,544
;;;-0,0000956;2,912;-0,544
;;;-0,0000954;2,884;-0,544
